frame,time_s,center_x,center_y,radius_px
208,2.08e-05,30.0,29.5,16.37843894958496
209,2.09e-05,29.9940128326416,29.39521026611328,16.395307540893555
210,2.1e-05,29.83858299255371,29.248031616210938,16.398466110229492
211,2.11e-05,29.95476722717285,29.33863067626953,16.45406150817871
212,2.12e-05,30.0,29.210525512695312,16.530521392822266
213,2.13e-05,29.810344696044922,29.5,16.563762664794922
214,2.14e-05,29.88112449645996,29.303993225097656,16.454111099243164
215,2.15e-05,29.844358444213867,29.202335357666016,16.403303146362305
216,2.16e-05,29.74907684326172,29.324724197387695,16.51048469543457
217,2.17e-05,29.828357696533203,29.201492309570312,16.390254974365234
218,2.18e-05,29.64678955078125,29.316513061523438,16.372631072998047
219,2.19e-05,29.909090042114258,29.272727966308594,16.420455932617188
220,2.2e-05,29.806306838989258,29.364864349365234,16.47528839111328
221,2.21e-05,29.950000762939453,29.200000762939453,16.49380874633789
222,2.22e-05,29.6842098236084,29.210525512695312,16.52716827392578
223,2.23e-05,29.816997528076172,29.472434997558594,16.551454544067383
224,2.24e-05,29.771642684936523,29.350746154785156,16.4996395111084
225,2.25e-05,29.839622497558594,29.37735939025879,16.45295524597168
226,2.26e-05,29.884057998657227,29.21014404296875,16.432647705078125
227,2.27e-05,29.850318908691406,29.334394454956055,16.49041175842285
228,2.28e-05,29.710525512695312,29.3157901763916,16.542688369750977
229,2.29e-05,29.796297073364258,29.5,16.552898406982422
230,2.3e-05,30.071428298950195,29.35714340209961,16.51385498046875
231,2.31e-05,29.8817195892334,29.204301834106445,16.433799743652344
232,2.32e-05,29.866971969604492,29.276145935058594,16.382972717285156
233,2.33e-05,30.0,29.369565963745117,16.446508407592773
234,2.34e-05,30.12162208557129,29.472972869873047,16.49647331237793
235,2.35e-05,30.047069549560547,29.62433433532715,16.35466766357422
236,2.36e-05,30.0,29.21666717529297,16.35696029663086
237,2.37e-05,30.058441162109375,29.175325393676758,16.369468688964844
238,2.38e-05,30.094594955444336,29.20720672607422,16.351465225219727
239,2.39e-05,30.0181827545166,29.236364364624023,16.532211303710938
240,2.4e-05,29.789474487304688,29.3157901763916,16.52716827392578
241,2.41e-05,30.021739959716797,29.30434799194336,16.40018081665039
242,2.42e-05,29.6842098236084,29.210525512695312,16.52716827392578
243,2.43e-05,29.882774353027344,29.160287857055664,16.458288192749023
244,2.44e-05,29.844358444213867,29.202335357666016,16.403303146362305
245,2.45e-05,30.043148040771484,29.29187774658203,16.52406120300293
246,2.46e-05,29.913978576660156,29.28494644165039,16.418106079101562
247,2.47e-05,29.77941131591797,29.102941513061523,16.514812469482422
248,2.48e-05,29.764463424682617,29.169422149658203,16.4132022857666
249,2.49e-05,29.856828689575195,29.460351943969727,16.526777267456055
250,2.5e-05,29.745283126831055,29.273584365844727,16.581178665161133
251,2.51e-05,29.811111450195312,29.188888549804688,16.38248062133789
252,2.52e-05,29.8817195892334,29.204301834106445,16.433799743652344
253,2.53e-05,29.977527618408203,29.314607620239258,16.45632553100586
254,2.54e-05,29.730770111083984,29.269229888916016,16.426822662353516
255,2.55e-05,29.920246124267578,29.21932601928711,16.388853073120117
